business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200744019,TARG corp,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.333459368261721,NAA8,12,30,6,15
U001,0200769623,WAL-MAR corporation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,11.163145978342259,NAH4,12,30,6,15
U001,0200707822,PUBLI us,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,11.617211423498281,NAA8,12,30,6,15
U001,0200769623,WAL-MAR trust,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.501889208849205,NAH4,12,30,6,15
U001,0200769623,WAL-MAR corporation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.23911815657581,NAH4,12,30,6,15
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.44097954706673,NAH4,12,30,6,15
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.586033321750676,NAH4,12,30,6,15
U001,0200704858,WAKE foundation,2019-01-22,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,9.821273196874442,NAA8,12,30,6,15
U001,0200726979,BJ'S  systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.883559211528279,NAA8,12,30,6,15
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,7.96374186409109,NAH4,12,30,6,15
U013,0100009932,SYSCO IN trust,2019-02-28,2019.0,2019-01-29,1.0,2018-12-30,NAVE,1,10.248015823427034,NAVE,12,30,6,30
U001,0200769623,WAL-MAR associates,2019-01-16,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,5.846178625614856,NAH4,12,30,6,15
U001,0200726979,BJ'S  systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15
U001,0200769623,WAL-MAR corporation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.614039254559279,NAH4,12,30,6,15
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,7.279160202143373,NAH4,12,30,6,15
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.550267705757875,NAH4,12,30,6,15
