quarter_end_date,gdp_growth,unemployment,cpi_yoy,fed_rate,wti_oil,dxy,retail_sales,year_quarter,fed_rate_chg,gdp_growth_chg,unemployment_chg,cpi_yoy_chg,wti_oil_chg,dxy_chg,retail_sales_chg
2017-03-31,2.0,4.566666666666666,,0.7000000000000001,51.62129032258064,116.46396229508197,1392370.0,2017Q1,,,,,,,
2017-06-30,2.3,4.366666666666667,,0.9500000000000001,48.103809523809524,113.90348125,1393160.0,2017Q2,0.25,0.2999999999999998,-0.1999999999999993,,-3.5174807987711176,-2.5604810450819713,790.0
2017-09-30,3.2,4.333333333333333,,1.1533333333333333,48.181774193548385,109.93858412698413,1406833.0,2017Q3,0.20333333333333325,0.9000000000000004,-0.0333333333333341,,0.0779646697388614,-3.9648971230158736,13673.0
2017-12-31,4.6,4.166666666666667,,1.2033333333333334,55.26587301587302,110.97474426229508,1440642.0,2017Q4,0.050000000000000044,1.3999999999999995,-0.16666666666666607,,7.084098822324634,1.0361601353109506,33809.0
2018-03-31,3.3,4.033333333333333,2.248617938637043,1.4466666666666665,62.90573770491803,107.99646,1449555.0,2018Q1,0.24333333333333318,-1.2999999999999998,-0.13333333333333375,,7.639864689045012,-2.9782842622950767,8913.0
2018-06-30,2.1,3.9333333333333336,2.686793380304775,1.7366666666666666,68.06546875,110.618409375,1466342.0,2018Q2,0.29000000000000004,-1.1999999999999997,-0.09999999999999964,0.4381754416677319,5.159731045081962,2.621949375,16787.0
2018-09-30,2.5,3.766666666666667,2.608916629635205,1.9233333333333331,69.68730158730159,113.64876666666666,1478094.0,2018Q3,0.18666666666666654,0.3999999999999999,-0.16666666666666652,-0.0778767506695699,1.6218328373015964,3.030357291666661,11752.0
2018-12-31,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,2018Q4,0.2966666666666671,-1.9,0.06666666666666643,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
2019-03-31,2.5,3.8666666666666667,1.6300227951842494,2.4033333333333333,54.82311475409836,114.5548779661017,1481483.0,2019Q1,0.18333333333333313,1.9,0.033333333333333215,-0.5834958743855978,-5.142459016393445,-1.145005640455679,-2900.0
2019-06-30,3.4,3.6333333333333333,1.8223837390979325,2.3966666666666665,59.880158730158726,115.429475,1509335.0,2019Q2,-0.006666666666666821,0.8999999999999999,-0.2333333333333334,0.19236094391368308,5.057043976060363,0.8745970338982971,27852.0
2019-09-30,4.8,3.6,1.749399715783806,2.19,56.336349206349205,116.4749046875,1530934.0,2019Q3,-0.20666666666666655,1.4,-0.033333333333333215,-0.07298402331412657,-3.5438095238095215,1.045429687500004,21599.0
2019-12-31,2.8,3.6,2.0485851427124224,1.6433333333333333,56.84492063492063,116.41376721311475,1540729.0,2019Q4,-0.5466666666666666,-2.0,0.0,0.2991854269286165,0.5085714285714289,-0.06113747438524797,9795.0
2020-03-31,-5.2,3.8333333333333335,2.143767669047314,1.26,45.33516129032258,117.75593064516129,1498773.0,2020Q1,-0.3833333333333333,-8.0,0.2333333333333334,0.09518252633489155,-11.509759344598052,1.342163432046533,-41956.0
2020-06-30,-28.0,13.0,0.40927623141997493,0.06,27.96047619047619,121.8336421875,1397515.0,2020Q2,-1.2,-22.8,9.166666666666666,-1.734491437627339,-17.374685099846392,4.077711542338719,-101258.0
2020-09-30,34.9,8.799999999999999,1.2231408831293145,0.09333333333333334,40.89171875,117.3474875,1598341.0,2020Q3,0.03333333333333334,62.9,-4.200000000000001,0.8138646517093395,12.931242559523813,-4.4861546875000045,200826.0
2020-12-31,4.6,6.766666666666667,1.242270546387081,0.09000000000000001,42.52492063492064,113.91718,1611603.0,2020Q4,-0.003333333333333327,-30.299999999999997,-2.0333333333333323,0.01912966325776644,1.6332018849206378,-3.430307499999998,13262.0
