year_month,vix,hy_spread_proxy,vix_lag1,vix_lag2,vix_lag3,hy_spread_proxy_lag1,hy_spread_proxy_lag2,hy_spread_proxy_lag3
2018-12,24.953157726087067,55.424639450876334,19.389047622680664,19.35217363938041,12.910526325828153,56.17164466494606,56.75695651510488,57.21258524844521
2019-01,19.57238079252697,56.69921402704148,24.953157726087067,19.389047622680664,19.35217363938041,55.424639450876334,56.17164466494606,56.75695651510488
2019-02,15.234736844112998,57.9931755065918,19.57238079252697,24.953157726087067,19.389047622680664,56.69921402704148,55.424639450876334,56.17164466494606
2019-03,14.485238075256348,58.57947267804827,15.234736844112998,19.57238079252697,24.953157726087067,57.9931755065918,56.69921402704148,55.424639450876334
2019-04,12.949047588166737,59.43466822306315,14.485238075256348,15.234736844112998,19.57238079252697,58.57947267804827,57.9931755065918,56.69921402704148
2019-05,16.721818056973543,59.19492132013495,12.949047588166737,14.485238075256348,15.234736844112998,59.43466822306315,58.57947267804827,57.9931755065918
2019-06,15.835999870300292,59.86910648345948,16.721818056973543,12.949047588166737,14.485238075256348,59.19492132013495,59.43466822306315,58.57947267804827
2019-07,13.30590907010165,60.44212167913263,15.835999870300292,16.721818056973543,12.949047588166737,59.86910648345948,59.19492132013495,59.43466822306315
2019-08,18.979090907356955,60.34766006469727,13.30590907010165,15.835999870300292,16.721818056973543,60.44212167913263,59.86910648345948,59.19492132013495
2019-09,15.55899987220764,61.16353511810303,18.979090907356955,13.30590907010165,15.835999870300292,60.34766006469727,60.44212167913263,59.86910648345948
2019-10,15.466521760691768,61.12772900125255,15.55899987220764,18.979090907356955,13.30590907010165,61.16353511810303,60.34766006469727,60.44212167913263
2019-11,12.523499965667725,61.36429443359375,15.466521760691768,15.55899987220764,18.979090907356955,61.12772900125255,61.16353511810303,60.34766006469727
2019-12,13.756666637602306,62.16757510957264,12.523499965667725,15.466521760691768,15.55899987220764,61.36429824829101,61.12772817197053,61.1635238647461
2020-01,13.94095243726458,62.75190789358957,13.756666637602306,12.523499965667725,15.466521760691768,62.16757510957264,61.36429824829101,61.12772817197053
2020-02,19.628947358382376,62.734078658254525,13.94095243726458,13.756666637602306,12.523499965667725,62.75190789358957,62.16757510957264,61.36429824829101
2020-03,57.7368184002963,56.21405844254927,19.628947358382376,13.94095243726458,13.756666637602306,62.734078658254525,62.75190789358957,62.16757510957264
