business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target_old,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days,business_days_late,target,due_weekend_flag,business_day_gap,amount_bin,cust_allowed_pay_days_late_rate_past,ratio_paid_invoices_late_past,avg_days_late_paid_late_past,sum_outstanding_amount_past,recent_5_late_rate
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.442736771332914,NAH4,12,30,6,15,-2,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  corporation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,5.328507037711094,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200771157,WEIS ,2019-01-18,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,11.270796832078249,NAA8,12,30,6,15,4,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.241742135115716,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.134388388257118,NAH4,12,30,6,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,5.670845974409936,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0100000533,BEST  in,2019-01-14,2019.0,2019-01-29,1.0,2018-12-30,NAD5,0,6.439350371100098,NAD5,12,30,6,30,-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR associates,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,9.188797992187885,NAH4,12,30,6,15,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.771490993778755,NAH4,12,30,6,15,-3,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200148860,DOLLA corp,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.770442327427311,NAA8,12,30,6,15,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200794332,COST us,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAAX,1,10.848841624124711,NAAX,12,30,6,15,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200744019,TARG corp,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.33345936826172,NAA8,12,30,6,15,-1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,11.16314597834226,NAH4,12,30,6,15,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200707822,PUBLI us,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,11.61721142349828,NAA8,12,30,6,15,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.501889208849205,NAH4,12,30,6,15,-1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.23911815657581,NAH4,12,30,6,15,-2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.44097954706673,NAH4,12,30,6,15,-3,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.586033321750676,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200704858,WAKE foundation,2019-01-22,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,9.821273196874442,NAA8,12,30,6,15,6,1,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.883559211528279,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,7.96374186409109,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U013,0100009932,SYSCO IN trust,2019-02-28,2019.0,2019-01-29,1.0,2018-12-30,NAVE,1,10.248015823427034,NAVE,12,30,6,30,22,1,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR associates,2019-01-16,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,5.846178625614856,NAH4,12,30,6,15,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.61403925455928,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,7.279160202143373,NAH4,12,30,6,15,-2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.550267705757877,NAH4,12,30,6,15,-2,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR co,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.833731484172468,NAH4,12,30,6,15,-3,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.392966574712216,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200706844,WINC systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,10.96200501279017,NAA8,12,30,6,15,1,0,0,0,3,0.0,0.0,0.0,6.359366234661181,0.0
U001,0200769623,WAL-MAR associates,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.495354452651254,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  foundation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corp,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.320470027522152,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.95290036343515,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200794332,COST foundation,2019-01-23,2019.0,2019-01-14,1.0,2018-12-30,NAAX,1,8.99250644960077,NAAX,12,30,6,15,7,1,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  corp,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR in,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,11.18695416006895,NAH4,12,30,6,15,-2,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200772670,ASSOCIAT in,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAU5,0,4.991452474679482,NAU5,12,30,6,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U013,0140103335,PARAM corp,2019-01-23,2019.0,2019-01-29,1.0,2018-12-30,NAVE,0,9.52963375049216,NAVE,12,30,6,30,-4,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.399969249437852,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200748108,KROGER systems,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.793307106319762,NAA8,12,30,6,15,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.641645143941725,NAH4,12,30,6,15,-2,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.739512035086507,NAH4,12,30,6,15,-3,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.750273853527704,NAH4,12,31,0,15,-2,0,0,0,3,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200769623,WAL-MAR in,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.753861620580286,NAH4,12,31,0,15,-2,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.93126491703664,NAH4,12,31,0,15,-3,0,0,0,3,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200900909,SYSCO associates,2019-01-18,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,9.516480786224191,NAA8,12,31,0,15,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,11.104115970631677,NAH4,12,31,0,15,0,0,0,0,3,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200726979,BJ'S  trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.811615087679249,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
