business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target_old,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days,business_days_late,target,due_weekend_flag,amount_bin,cust_allowed_pay_days_late_rate_past,ratio_paid_invoices_late_past,avg_days_late_paid_late_past,sum_outstanding_amount_past,recent_5_late_rate,recent_10_late_rate,recent_20_late_rate,late_rate_time_decay_lambda_0_8,current_transaction_count,cleared_count,is_new_customer,is_last_late,recent_3_late_rate,year_month,year_quarter,gdp_growth,unemployment,cpi_yoy,fed_rate,wti_oil,dxy,retail_sales,fed_rate_chg,gdp_growth_chg,unemployment_chg,cpi_yoy_chg,wti_oil_chg,dxy_chg,retail_sales_chg
U001,0200726979,BJ'S  systems,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.080583646972063,NAA8,12,30,6,15,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR co,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.833731484172468,NAH4,12,30,6,15,-3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR associates,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.470530736773568,NAH4,12,30,6,15,-2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200794332,COST us,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAAX,1,10.848841624124711,NAAX,12,30,6,15,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.442736771332914,NAH4,12,30,6,15,-2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200750051,ALBER trust,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,10.89701280666556,NAA8,12,30,6,15,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.42865789673511,NAH4,12,30,6,15,-3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.29030153786374,NAH4,12,30,6,15,-2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR associates,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.668184751252266,NAH4,12,30,6,15,-3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200707822,PUBLI us,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,11.61721142349828,NAA8,12,30,6,15,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR corporation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.23911815657581,NAH4,12,30,6,15,-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.241742135115716,NAH4,12,30,6,15,-3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.44097954706673,NAH4,12,30,6,15,-3,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,4.392966574712216,NAA8,12,30,6,15,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.14969450101832993,0.14969450101832993,2018-12,2018Q4,0.6,3.8333333333333335,2.213518669569847,2.22,59.96557377049181,115.69988360655738,1484383.0,0.2966666666666671,-1.9,0.0666666666666664,-0.3953979600653579,-9.721727816809782,2.0511169398907185,6289.0
